aX,aY,aZ,gX,gY,gZ
1.787,-0.068,1.017,4.578,1.465,-30.884
1.473,-0.071,0.961,6.226,1.953,-42.358
1.197,-0.297,0.988,-1.404,3.174,-41.260
1.217,-0.504,1.020,-6.653,4.211,-39.917
0.970,-0.641,1.053,-2.808,4.639,-39.490
0.691,-0.596,1.018,1.404,3.784,-35.095
0.414,-0.471,1.000,4.333,0.977,-23.437
0.266,-0.433,1.014,0.977,2.869,-3.662
0.106,-0.433,1.010,-1.709,5.005,17.334
0.029,-0.415,1.049,-1.709,6.042,29.724
-0.301,-0.276,1.023,0.183,4.517,28.809
-0.327,-0.058,0.997,0.183,1.221,17.273
-0.468,-0.007,0.983,1.770,-1.099,16.785
-0.587,0.188,0.986,-0.122,-0.610,12.207
-0.632,0.248,1.003,0.732,0.977,4.272
-0.685,0.226,0.986,2.258,2.563,-3.784
-0.753,0.220,0.984,1.465,4.089,-12.817
-0.930,0.294,1.010,-2.075,7.812,-19.897
-0.939,0.290,1.033,-1.465,8.057,-18.555
-0.925,0.285,1.021,1.038,3.418,-10.803
-1.112,0.283,1.022,-0.977,1.526,-0.427
-1.022,0.192,0.999,0.610,-2.380,14.954
-1.049,0.177,0.991,1.648,-5.310,29.419
-0.919,0.120,0.995,1.831,-1.648,41.077
-0.821,0.121,1.001,1.526,-0.488,44.678
-0.702,0.146,1.000,1.526,-0.061,39.001
-0.645,0.124,0.998,1.099,0.183,29.358
-0.560,0.064,1.000,0.732,0.305,20.691
-0.514,-0.007,0.999,0.549,0.305,13.977
-0.484,-0.048,1.000,0.916,0.488,8.423
-0.440,-0.079,1.001,0.793,0.549,4.211
-0.432,-0.094,1.000,0.977,0.732,2.502
-0.485,-0.120,1.000,1.221,0.549,3.174
-0.096,-0.042,1.005,1.221,0.549,2.686
-0.027,-0.026,1.003,1.221,0.854,0.061
-0.025,-0.021,0.997,0.671,0.916,-0.122
-0.024,-0.017,0.999,0.793,0.916,-0.122
-0.026,-0.017,1.001,0.977,0.854,-0.183
-0.027,-0.017,1.003,1.099,0.854,-0.122
-0.026,-0.018,1.006,1.038,0.916,-0.183
-0.025,-0.019,1.001,1.038,0.977,-0.244
-0.024,-0.022,1.000,0.977,0.977,-0.122
-0.024,-0.023,1.002,1.038,0.854,-0.183
-0.023,-0.024,1.002,1.038,0.793,-0.122
-0.020,-0.027,1.001,0.977,0.671,-0.183
-0.020,-0.028,1.000,0.610,0.671,-0.244
-0.019,-0.027,1.001,0.732,0.671,-0.183
-0.018,-0.026,1.004,0.854,0.671,0.000
-0.021,-0.023,1.006,0.793,0.671,-0.244
-0.024,-0.019,1.002,0.977,0.610,-0.122
-0.025,-0.016,1.000,0.793,0.610,-0.244
-0.025,-0.014,1.001,0.671,0.488,-0.122
-0.028,-0.015,1.001,0.793,0.610,-0.061
-0.029,-0.017,1.001,0.793,0.610,-0.061
-0.031,-0.020,1.002,0.854,0.488,0.000
-0.031,-0.022,1.001,1.282,0.916,0.000
-0.030,-0.025,1.001,1.038,0.854,-0.122
-0.029,-0.025,1.003,0.916,0.732,-0.183
-0.028,-0.025,1.001,0.916,0.793,-0.122
-0.027,-0.023,1.000,0.977,0.793,-0.244
-0.025,-0.022,1.001,0.977,0.793,-0.122
-0.023,-0.022,1.001,1.160,0.793,-0.122
-0.023,-0.022,1.002,1.038,0.793,-0.122
-0.022,-0.021,1.004,1.038,0.732,-0.061
-0.022,-0.020,1.001,1.038,0.793,-0.122
-0.021,-0.019,1.001,0.977,0.732,-0.122
-0.023,-0.018,1.001,0.977,0.793,-0.244
-0.023,-0.018,1.001,0.916,0.854,-0.183
-0.025,-0.019,1.001,0.793,0.732,-0.183
-0.027,-0.023,1.001,0.854,0.793,-0.122
-0.028,-0.024,1.001,1.038,0.916,-0.122
-0.028,-0.025,1.002,0.916,0.793,-0.122
-0.029,-0.025,1.002,1.099,0.671,-0.183
-0.028,-0.024,1.004,0.916,0.732,0.000
-0.026,-0.022,1.001,1.038,0.732,-0.183
-0.026,-0.018,1.001,0.793,0.793,-0.122
-0.024,-0.017,1.001,0.732,0.671,-0.061
-0.022,-0.017,1.001,0.793,0.732,-0.061
-0.022,-0.018,1.001,0.854,0.610,-0.122
-0.021,-0.020,1.001,0.916,0.549,-0.061
-0.022,-0.021,1.001,0.916,0.671,-0.244
-0.022,-0.022,1.001,0.671,0.610,-0.183
-0.023,-0.022,1.001,0.732,0.671,-0.122
-0.024,-0.024,1.001,0.793,0.732,-0.061
-0.027,-0.023,1.001,0.732,0.854,-0.183
-0.028,-0.024,1.001,0.916,0.793,-0.183
-0.029,-0.023,1.001,0.977,0.671,-0.183
-0.030,-0.022,1.001,0.854,0.793,-0.183
-0.030,-0.020,1.001,0.854,0.671,-0.183
-0.028,-0.018,1.001,0.854,0.610,-0.061
-0.027,-0.017,1.001,0.916,0.610,-0.061
-0.025,-0.017,1.001,0.916,0.671,-0.244
-0.024,-0.018,1.001,0.977,0.793,-0.244
-0.022,-0.018,1.001,0.793,0.732,-0.183
-0.022,-0.021,1.001,0.793,0.549,-0.183
-0.021,-0.023,1.002,0.854,0.549,-0.122
-0.022,-0.024,1.001,0.854,0.671,-0.122
-0.022,-0.026,1.002,0.854,0.671,-0.183
-0.023,-0.022,1.001,0.854,0.854,-0.183
-0.024,-0.023,1.002,0.916,0.793,-0.122
-0.026,-0.022,1.001,0.854,0.793,-0.183
-0.028,-0.020,1.002,0.916,0.793,-0.427
-0.028,-0.019,1.001,0.977,0.854,-0.183
-0.028,-0.019,1.001,0.916,0.732,-0.122
-0.028,-0.018,1.001,1.099,0.854,-0.122
-0.026,-0.018,1.001,0.916,0.549,0.000
-0.025,-0.020,1.001,0.977,0.671,-0.061
-0.024,-0.020,1.001,0.977,0.732,-0.183
-0.023,-0.021,1.001,1.038,0.732,-0.061
-0.023,-0.023,1.001,0.977,0.916,-0.122
-0.022,-0.023,1.001,1.038,0.854,0.000
-0.022,-0.023,1.001,1.038,0.793,-0.061
-0.023,-0.023,1.001,0.854,0.732,-0.183
-0.024,-0.024,1.001,0.854,0.854,-0.183
-0.025,-0.022,1.002,0.854,0.793,-0.183
-0.026,-0.020,1.001,0.977,0.671,-0.244
-0.027,-0.018,1.001,0.977,0.916,0.000
-0.028,-0.018,1.001,0.916,0.977,-0.061
-0.028,-0.018,1.001,0.916,0.854,-0.061

1.607,-0.133,1.010,2.014,1.282,7.263
1.407,-0.278,0.999,2.258,0.732,5.554
1.181,-0.382,0.996,3.906,0.122,8.789
1.007,-0.594,0.989,4.333,0.061,17.029
0.758,-0.590,1.002,2.991,1.099,25.513
0.551,-0.696,1.006,2.502,3.235,30.640
0.160,-0.475,1.049,1.831,5.371,31.677
-0.047,-0.502,1.013,2.136,4.333,34.973
-0.162,-0.433,1.007,2.075,1.831,36.499
-0.362,-0.312,1.004,1.953,2.869,34.241
-0.493,-0.002,0.998,1.160,3.296,27.649
-0.593,0.011,1.025,0.000,4.333,22.400
-0.689,0.205,1.008,-1.465,3.174,15.442
-0.572,0.172,0.996,-2.319,0.793,16.541
-0.626,0.104,0.996,-1.038,0.366,16.602
-0.633,0.159,0.998,2.441,0.916,10.132
-0.559,0.164,0.998,5.310,0.366,7.324
-0.595,0.094,0.995,5.005,0.610,12.207
-0.634,0.097,0.994,4.578,1.343,17.212
-0.667,0.174,0.989,2.197,2.747,19.531
