aX,aY,aZ,gX,gY,gZ
0.026,0.733,1.002,-0.549,1.221,13.672
0.009,0.707,1.003,-1.038,1.221,10.986
-0.142,0.795,0.997,-0.122,1.099,-9.338
-0.174,0.811,0.997,1.160,1.221,-29.175
-0.197,1.021,0.994,1.160,1.282,-43.396
-0.177,1.208,0.988,1.648,1.221,-44.250
-0.121,1.242,1.000,1.343,1.404,-33.752
-0.048,1.204,0.992,0.854,1.282,-23.499
-0.029,1.129,0.996,0.610,1.465,-23.743
-0.017,1.035,0.996,0.000,1.709,-36.987
-0.016,0.997,1.005,-0.977,1.709,-57.800
-0.023,0.802,1.002,-0.916,2.075,-78.186
-0.085,0.851,0.991,-3.052,3.662,-93.506
-0.140,0.732,0.991,-1.404,2.747,-102.966
-0.125,0.187,0.989,2.075,1.404,-108.704
-0.210,-0.225,0.992,2.686,2.075,-118.408
-0.314,-0.536,1.014,-1.709,1.953,-129.639
-0.330,-0.743,1.019,1.465,1.587,-133.240
-0.331,-0.829,0.984,9.644,0.427,-124.756
-0.291,-0.861,0.976,11.169,0.732,-104.614
-0.223,-0.771,0.988,4.700,0.916,-75.134
-0.111,-0.790,0.998,-1.526,2.258,-40.894
-0.058,-0.858,1.015,-3.967,2.686,-17.517
0.006,-0.840,1.016,-2.441,1.892,-12.146
0.069,-0.767,0.999,1.282,1.404,-14.954
0.109,-0.672,1.000,0.977,1.831,-13.977
0.096,-0.744,0.997,0.305,1.831,-8.423
0.062,-0.783,1.002,0.366,2.075,-3.418
0.049,-0.876,1.003,1.221,2.014,1.343
0.013,-0.853,1.004,1.526,1.404,2.441
-0.031,-0.740,1.002,2.319,1.160,1.587
-0.025,-0.594,1.002,2.686,0.916,4.700
-0.036,-0.524,1.000,2.136,0.488,14.099
-0.024,-0.495,1.001,1.648,0.488,25.269
-0.028,-0.413,1.001,1.099,0.305,33.508
-0.053,-0.397,1.000,0.977,-0.061,37.292
-0.097,-0.332,1.000,0.977,0.183,35.828
-0.111,-0.217,1.001,0.854,0.244,31.677
-0.149,-0.225,1.001,0.610,0.122,27.161
-0.208,-0.300,0.999,0.671,0.427,19.592
-0.057,-0.065,0.997,0.244,0.671,6.348
-0.028,-0.022,0.999,-0.061,0.793,-0.061
-0.025,-0.019,1.001,0.305,0.854,-0.244
-0.026,-0.022,1.001,0.854,0.977,-0.244
-0.026,-0.022,1.000,0.916,0.854,-0.122
-0.026,-0.021,0.997,0.732,0.977,-0.305
-0.025,-0.020,0.997,0.854,1.160,-0.366
-0.023,-0.020,1.001,0.366,1.038,-0.122
-0.025,-0.020,1.001,0.427,0.916,-0.183
-0.023,-0.019,1.000,0.549,0.916,-0.305
-0.024,-0.018,0.999,0.732,0.671,-0.244
-0.024,-0.018,1.000,0.977,0.916,-0.183
-0.022,-0.018,1.001,1.099,0.977,-0.061
-0.022,-0.019,1.000,0.977,0.793,0.000
-0.022,-0.019,0.999,1.160,0.732,-0.183
-0.022,-0.020,0.998,1.099,0.671,-0.122
-0.022,-0.021,1.000,1.160,0.671,-0.061
-0.024,-0.023,1.002,0.916,0.793,0.000
-0.025,-0.022,1.001,0.916,0.916,-0.244
-0.025,-0.022,1.000,0.793,0.916,-0.244
-0.026,-0.020,0.999,0.793,0.732,-0.244
-0.027,-0.019,1.000,0.732,0.671,-0.122
-0.027,-0.018,1.000,0.854,0.854,-0.305
-0.027,-0.017,1.001,0.977,0.732,-0.427
-0.027,-0.016,1.000,1.038,0.793,-0.122
