aX,aY,aZ,gX,gY,gZ
0.347,-1.484,1.009,2.014,3.052,-84.656
0.120,-1.604,1.013,1.526,4.395,-69.885
-0.001,-1.779,1.024,2.930,6.592,-43.457
-0.112,-2.111,1.015,4.700,6.897,-6.287
-0.124,-1.886,1.005,5.432,2.869,34.119
-0.236,-1.928,0.995,3.418,-2.747,79.834
-0.249,-1.696,0.987,-0.854,-6.653,117.859
-0.267,-1.178,1.020,-3.052,-7.996,146.057
-0.265,-1.012,0.995,1.465,-3.357,166.931
-0.255,-0.862,1.009,1.709,-2.075,175.659
-0.311,-0.459,1.022,7.019,-2.258,167.969
-0.343,-0.010,0.997,3.906,-2.075,156.494
-0.470,0.403,0.984,-1.709,-1.587,153.503
-0.433,0.835,0.982,-2.747,-0.488,160.339
-0.326,1.728,1.002,-0.305,0.366,153.748
-0.458,1.935,0.982,-0.122,-0.488,127.014
-0.357,1.956,0.971,-4.639,1.160,107.178
-0.330,2.222,0.999,-6.348,4.395,71.594
-0.367,2.190,0.994,1.221,3.967,48.035
-0.407,2.210,0.991,5.493,1.282,34.363
-0.322,2.000,0.988,1.831,0.793,26.245
-0.338,1.883,0.990,0.305,0.244,8.789
-0.440,1.424,0.990,1.404,0.916,-16.541
-0.260,0.466,1.001,2.197,1.404,-38.330
-0.162,0.099,1.002,2.380,1.465,-41.260
-0.113,0.031,1.000,0.549,1.465,-25.818
-0.072,-0.018,0.998,-0.122,1.526,-9.033
-0.034,-0.064,0.997,-0.061,1.465,-4.028
-0.021,-0.078,1.000,0.549,1.770,-4.089
-0.015,-0.073,1.004,0.793,2.075,-3.906
-0.016,-0.049,1.001,1.160,2.197,-4.456
-0.004,-0.057,1.000,1.282,1.953,-3.052
-0.021,-0.019,1.001,1.526,2.014,-0.061
-0.027,-0.013,1.005,1.404,1.709,0.305
-0.018,-0.010,1.000,1.465,1.892,0.671
-0.016,-0.011,1.000,1.587,0.793,0.427
-0.004,-0.016,0.998,1.221,0.366,0.183
-0.006,-0.019,1.000,1.038,-0.610,0.000
-0.004,-0.022,1.001,0.732,-0.305,-0.061
-0.006,-0.018,1.001,0.671,0.427,-0.366
-0.014,-0.015,1.000,0.916,0.488,-0.305
-0.022,-0.012,0.999,1.221,0.793,-0.366
-0.028,-0.012,1.000,1.160,0.854,-0.427
-0.032,-0.016,1.001,0.916,0.793,-0.183
-0.034,-0.020,1.001,1.038,0.916,-0.244
-0.033,-0.024,1.000,0.977,0.916,-0.305
-0.033,-0.024,1.000,1.099,0.854,-0.366
-0.033,-0.023,1.000,1.099,0.732,-0.122
-0.033,-0.018,1.001,1.160,0.977,-0.244
-0.031,-0.013,1.000,1.099,0.916,-0.244
-0.028,-0.009,1.001,1.282,0.916,-0.305
-0.025,-0.008,1.001,1.404,0.916,-0.122
-0.016,-0.010,1.001,1.526,0.854,-0.061
-0.011,-0.014,1.000,1.526,0.977,0.061
-0.006,-0.017,1.000,1.526,1.038,0.061
-0.004,-0.021,1.000,1.587,0.916,0.000
-0.007,-0.021,1.000,1.465,0.916,-0.061
-0.013,-0.020,1.000,1.404,1.038,-0.122
-0.021,-0.016,1.001,1.465,0.854,-0.366
-0.027,-0.016,1.001,1.343,0.916,-0.244
-0.032,-0.015,1.001,1.465,1.160,-0.061
-0.035,-0.018,1.000,1.404,0.916,-0.183
-0.034,-0.019,1.000,1.282,0.977,-0.183
-0.032,-0.020,1.001,1.343,0.977,-0.244
-0.030,-0.021,1.001,1.221,0.793,-0.122
-0.028,-0.018,1.001,1.160,0.916,-0.305
-0.025,-0.015,1.001,1.282,1.038,-0.183
-0.023,-0.013,1.000,1.038,0.854,-0.061
-0.021,-0.013,1.000,1.099,0.793,-0.122
-0.016,-0.014,1.000,1.282,0.671,-0.366
-0.013,-0.016,1.000,1.221,0.793,-0.427
-0.012,-0.019,1.001,1.099,0.732,-0.122
-0.012,-0.020,1.000,1.343,0.977,-0.122
-0.015,-0.019,1.000,1.160,0.916,-0.183
-0.018,-0.019,1.000,1.160,0.854,-0.244
-0.023,-0.016,1.000,1.282,0.793,-0.183
-0.026,-0.014,1.000,1.343,0.854,-0.244
-0.031,-0.015,1.001,1.404,0.732,-0.183
-0.031,-0.016,1.000,1.404,1.038,0.000
-0.031,-0.017,1.000,1.282,0.916,-0.061
-0.029,-0.019,1.001,1.282,0.916,-0.061
-0.027,-0.018,1.000,1.038,0.793,-0.061
-0.025,-0.018,1.000,1.160,0.916,-0.122
-0.023,-0.018,1.001,1.099,0.854,-0.122
-0.021,-0.016,1.000,1.160,0.977,-0.183
-0.021,-0.014,1.000,1.099,0.916,-0.244
-0.019,-0.015,1.001,1.221,0.854,-0.244
-0.018,-0.016,1.000,1.221,0.793,-0.122
-0.016,-0.018,1.000,1.160,0.916,-0.061
-0.018,-0.018,1.001,1.221,0.977,-0.183
-0.019,-0.018,1.000,1.282,1.099,-0.122
-0.022,-0.017,1.001,1.221,1.038,-0.244
-0.025,-0.015,1.001,1.221,1.038,-0.183
-0.027,-0.015,1.000,1.221,1.099,-0.244
