aX,aY,aZ,gX,gY,gZ
-1.589,0.267,0.991,2.136,1.404,-57.190
-1.706,0.190,0.980,0.854,1.160,-37.048
-1.571,0.080,0.988,0.854,0.977,-21.912
-1.539,0.094,0.976,0.549,0.793,-19.287
-1.395,0.128,0.965,0.549,2.075,-23.926
-1.097,0.074,0.991,0.427,5.920,-32.471
-0.938,0.007,1.059,0.305,6.287,-42.908
-0.995,0.029,1.040,2.014,-0.305,-56.274
-0.758,-0.049,0.988,7.935,-7.019,-67.200
-0.546,-0.164,0.982,0.061,-2.625,-69.031
-0.397,-0.312,0.991,-6.714,-0.061,-65.613
-0.268,-0.297,0.990,-6.958,1.099,-64.697
-0.020,-0.372,0.977,-2.563,1.282,-58.105
0.181,-0.378,1.018,4.639,1.343,-44.128
0.554,-0.419,1.026,4.639,-1.221,-24.536
0.542,-0.398,0.994,2.563,-2.686,-11.292
0.698,-0.233,1.006,1.221,-1.648,-10.315
0.722,-0.192,0.997,0.122,-1.221,-4.700
0.872,-0.091,1.031,0.366,-1.282,-2.869
0.976,-0.095,1.011,0.793,-3.174,-6.348
0.972,-0.060,0.987,-0.183,-2.075,-13.672
1.002,-0.089,0.989,-2.380,-0.854,-22.705
0.912,-0.160,0.992,0.122,-0.122,-30.640
0.952,-0.137,0.993,-0.427,0.122,-31.982
0.967,-0.145,0.995,-1.770,0.671,-22.766
0.915,-0.167,0.992,-0.793,1.038,-10.254
0.875,-0.109,0.995,1.038,0.732,-1.343
0.883,-0.087,1.001,2.563,0.977,5.310
0.716,0.007,0.997,2.075,0.916,7.446
0.732,0.068,1.000,1.892,0.854,9.705
0.687,0.046,0.999,1.221,0.671,14.099
0.593,0.025,0.997,0.732,0.549,14.160
0.547,0.028,0.997,1.099,0.671,8.911
0.487,0.042,0.999,1.587,0.854,3.296
0.413,0.040,0.997,1.465,0.916,-0.244
0.183,0.027,0.997,1.221,0.793,-2.014
-0.012,-0.014,0.997,0.671,0.732,-1.038
-0.023,-0.020,0.998,0.977,0.610,-0.305
-0.024,-0.023,0.996,0.977,0.549,-0.183
-0.026,-0.022,0.997,0.977,0.671,-0.122
-0.029,-0.019,0.995,0.793,0.549,-0.122
-0.032,-0.018,0.996,1.038,0.610,-0.122
-0.036,-0.016,0.995,0.977,0.671,-0.244
-0.037,-0.014,0.996,0.916,0.732,-0.061
-0.003,0.018,0.996,0.916,0.610,0.427
-0.034,-0.011,0.996,1.221,0.854,3.479
-0.053,-0.031,0.994,0.793,0.610,5.798
-0.050,-0.027,0.995,0.916,0.732,3.845
-0.043,-0.024,0.995,0.549,0.610,1.587
-0.036,-0.021,0.997,0.732,0.671,0.549
-0.029,-0.022,0.998,0.977,0.793,0.000
-0.025,-0.022,0.996,0.977,0.732,-0.122
-0.024,-0.023,0.994,0.732,0.671,-0.244
-0.023,-0.022,0.995,0.549,0.732,-0.305
-0.024,-0.020,0.994,0.549,0.671,-0.305
-0.027,-0.019,0.996,0.671,0.793,-0.244
-0.030,-0.017,0.997,0.610,0.732,-0.244
-0.033,-0.016,0.997,0.793,0.854,-0.061
-0.034,-0.014,0.997,0.610,0.793,-0.061
-0.036,-0.015,0.999,0.732,0.671,-0.366
-0.036,-0.016,0.997,0.854,0.732,-0.305
-0.035,-0.017,0.998,0.854,0.732,-0.122
-0.033,-0.019,0.998,0.793,0.793,-0.183
-0.031,-0.020,0.997,0.854,0.793,-0.122
-0.029,-0.022,0.996,1.038,0.488,-0.183
-0.028,-0.021,0.997,1.038,0.549,0.000
-0.027,-0.020,0.996,0.610,0.732,-0.183
-0.025,-0.019,0.997,0.854,0.793,-0.061
-0.027,-0.019,0.995,0.793,0.732,-0.061
-0.027,-0.016,0.996,0.793,0.854,-0.122
-0.030,-0.015,0.996,1.038,0.916,-0.244
-0.032,-0.014,0.997,0.977,0.854,-0.183
-0.032,-0.015,0.996,0.793,0.671,-0.305
-0.033,-0.014,0.997,0.793,0.671,-0.366
-0.034,-0.016,0.997,0.977,0.671,-0.183
-0.034,-0.018,0.996,1.099,0.854,-0.122
-0.034,-0.019,0.995,1.099,0.916,-0.122
-0.033,-0.019,0.997,1.160,0.916,-0.305
-0.031,-0.019,0.996,0.977,0.671,-0.305
-0.031,-0.018,0.997,0.854,0.671,-0.122
-0.030,-0.018,0.995,0.977,0.610,-0.122
-0.029,-0.018,0.997,1.038,0.610,0.000
-0.029,-0.017,0.996,0.854,0.793,-0.061
-0.029,-0.017,0.998,0.793,0.732,-0.122
-0.030,-0.016,0.998,0.854,0.549,-0.244
-0.029,-0.017,0.999,1.099,0.549,-0.183
-0.030,-0.018,0.998,1.099,0.549,-0.061
-0.030,-0.019,0.999,1.099,0.793,-0.122
-0.029,-0.019,0.998,1.099,0.610,-0.183
-0.029,-0.021,0.997,0.977,0.671,-0.122
-0.030,-0.021,0.996,1.221,0.793,-0.244
-0.030,-0.020,0.997,1.282,0.671,-0.244
-0.030,-0.020,0.997,1.404,0.549,-0.183
-0.030,-0.017,0.997,1.404,0.671,-0.244
-0.031,-0.016,0.996,1.404,0.732,-0.244
-0.031,-0.015,0.997,1.099,0.610,-0.061
-0.031,-0.015,0.996,1.160,0.610,-0.183
-0.032,-0.015,0.997,1.221,0.854,-0.183
-0.032,-0.016,0.997,1.282,0.854,-0.122
-0.032,-0.018,0.998,1.282,0.854,-0.061
-0.032,-0.020,0.997,1.160,0.793,-0.366
-0.033,-0.021,0.998,1.160,0.793,-0.244
-0.031,-0.021,0.997,1.404,0.793,-0.183
-0.031,-0.023,0.998,1.404,0.610,-0.122
-0.031,-0.022,0.997,1.465,0.549,-0.183
-0.030,-0.021,0.997,1.404,0.732,-0.061
-0.030,-0.018,0.997,1.221,0.854,-0.183
-0.030,-0.018,0.998,1.282,0.671,-0.122
-0.030,-0.018,0.997,1.221,0.610,-0.122
-0.030,-0.017,1.000,0.977,0.671,-0.183
-0.030,-0.017,0.999,1.343,0.671,-0.305
-0.031,-0.020,0.999,1.343,0.732,-0.183
-0.030,-0.020,1.000,1.099,0.671,-0.183
-0.031,-0.022,1.000,1.160,0.732,-0.244
-0.030,-0.022,0.998,0.977,0.732,-0.244
-0.030,-0.022,1.000,1.038,0.732,-0.244
-0.029,-0.023,0.997,1.038,0.732,-0.244
-0.031,-0.021,0.998,1.221,0.610,-0.244
-0.031,-0.021,0.997,1.465,0.916,-0.061

-2.121,0.536,0.998,1.038,1.160,-59.631
-2.597,0.823,0.995,0.244,0.977,-42.114
-2.699,0.949,0.987,-1.343,0.671,-13.550
-2.446,0.860,0.973,-1.465,0.488,2.563
-1.990,0.542,0.969,-2.136,0.427,-0.671
-1.734,0.104,0.949,-0.732,1.526,-27.588
-1.478,-0.116,1.123,2.930,8.789,-75.073
-1.292,-0.209,1.135,4.883,5.066,-118.530
-1.268,-0.395,0.990,5.493,-8.423,-130.859
-0.745,-0.727,0.998,1.587,-4.272,-113.586
-0.610,-0.940,0.980,-5.615,0.244,-87.280
-0.101,-0.944,0.976,-2.869,2.686,-65.063
0.344,-0.790,1.065,4.822,1.648,-42.419
0.587,-0.774,1.007,2.258,-2.441,-13.123
0.898,-0.565,1.007,1.648,-4.822,5.615
1.060,-0.361,1.001,-1.953,-2.075,28.809
1.203,-0.196,1.085,-1.709,-1.892,49.011
1.142,0.070,0.991,0.061,-4.089,53.772
1.325,0.299,0.994,-3.418,-2.319,46.570
1.309,0.263,0.987,-1.831,-1.282,38.574
1.290,0.250,0.986,-2.014,-0.305,24.170
1.344,0.147,0.991,-2.014,0.671,10.254
1.191,0.071,1.003,1.709,0.183,0.000
1.294,0.091,1.030,2.808,0.366,-3.540
1.091,0.052,1.007,0.000,0.427,1.160
1.021,0.048,0.996,0.183,0.244,8.728
0.965,0.018,1.000,0.671,0.366,15.137
0.887,-0.029,0.999,0.244,0.061,21.729
0.725,-0.035,1.001,0.122,0.183,24.414
0.672,-0.060,1.001,0.916,0.183,23.865
0.557,-0.074,1.001,1.099,0.061,22.644
0.492,-0.096,1.000,0.916,0.122,20.996
0.451,-0.126,1.001,1.099,0.183,18.066
0.400,-0.152,1.001,1.282,0.366,14.221
0.383,-0.182,1.001,1.343,0.610,10.132
0.291,-0.133,0.999,1.648,0.671,5.371
-0.006,-0.027,0.999,1.404,0.793,0.854
-0.023,-0.026,1.001,1.770,0.854,0.061
-0.023,-0.022,1.001,1.892,0.610,-0.061
